"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 31 04:05:13 UTC 2023","Sun Dec 31 04:05:25 UTC 2023","11791","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sun Dec 31 02:42:09 UTC 2023","Sun Dec 31 02:42:16 UTC 2023","7437","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sun Dec 31 02:44:12 UTC 2023","Sun Dec 31 02:44:22 UTC 2023","9811","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sun Dec 31 02:44:08 UTC 2023","Sun Dec 31 02:44:12 UTC 2023","3643","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sun Dec 31 02:38:47 UTC 2023","Sun Dec 31 02:39:48 UTC 2023","61415","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sun Dec 31 02:35:26 UTC 2023","Sun Dec 31 02:35:36 UTC 2023","10017","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sun Dec 31 04:18:54 UTC 2023","Sun Dec 31 04:19:10 UTC 2023","15319","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sun Dec 31 03:26:24 UTC 2023","Sun Dec 31 03:26:38 UTC 2023","13362","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sun Dec 31 02:54:16 UTC 2023","Sun Dec 31 02:54:21 UTC 2023","4209","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sun Dec 31 04:05:25 UTC 2023","Sun Dec 31 04:05:28 UTC 2023","3320","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sun Dec 31 03:26:38 UTC 2023","Sun Dec 31 03:26:49 UTC 2023","10891","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Dec 31 03:00:08 UTC 2023","Sun Dec 31 03:00:10 UTC 2023","2112","","6. Company Account","","","","6. Review Review Page",""
"passed","Sun Dec 31 03:29:32 UTC 2023","Sun Dec 31 03:29:46 UTC 2023","14062","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sun Dec 31 04:19:29 UTC 2023","Sun Dec 31 04:19:29 UTC 2023","851","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sun Dec 31 02:35:36 UTC 2023","Sun Dec 31 02:35:48 UTC 2023","11324","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sun Dec 31 04:16:47 UTC 2023","Sun Dec 31 04:17:01 UTC 2023","14331","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sun Dec 31 04:05:41 UTC 2023","Sun Dec 31 04:05:58 UTC 2023","16514","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sun Dec 31 04:19:16 UTC 2023","Sun Dec 31 04:19:25 UTC 2023","8835","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sun Dec 31 03:27:29 UTC 2023","Sun Dec 31 03:27:30 UTC 2023","791","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sun Dec 31 02:56:13 UTC 2023","Sun Dec 31 02:56:31 UTC 2023","17858","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Dec 31 03:27:18 UTC 2023","Sun Dec 31 03:27:29 UTC 2023","11254","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sun Dec 31 02:59:31 UTC 2023","Sun Dec 31 02:59:39 UTC 2023","8020","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sun Dec 31 02:56:31 UTC 2023","Sun Dec 31 02:56:39 UTC 2023","8398","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sun Dec 31 02:44:22 UTC 2023","Sun Dec 31 02:44:22 UTC 2023","572","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Dec 31 02:37:38 UTC 2023","Sun Dec 31 02:37:41 UTC 2023","3308","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sun Dec 31 04:05:36 UTC 2023","Sun Dec 31 04:05:39 UTC 2023","2647","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sun Dec 31 02:53:23 UTC 2023","Sun Dec 31 02:54:16 UTC 2023","53546","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Sun Dec 31 02:57:11 UTC 2023","Sun Dec 31 02:57:12 UTC 2023","1543","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Dec 31 04:40:28 UTC 2023","Sun Dec 31 04:40:32 UTC 2023","4299","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Sun Dec 31 02:36:47 UTC 2023","Sun Dec 31 02:37:14 UTC 2023","27125","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sun Dec 31 02:38:42 UTC 2023","Sun Dec 31 02:38:47 UTC 2023","4947","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sun Dec 31 03:59:24 UTC 2023","Sun Dec 31 03:59:49 UTC 2023","25128","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sun Dec 31 02:50:24 UTC 2023","Sun Dec 31 02:50:32 UTC 2023","7559","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sun Dec 31 04:19:10 UTC 2023","Sun Dec 31 04:19:16 UTC 2023","6004","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sun Dec 31 02:35:48 UTC 2023","Sun Dec 31 02:36:10 UTC 2023","22266","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Sun Dec 31 02:56:55 UTC 2023","Sun Dec 31 02:56:59 UTC 2023","3955","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Dec 31 03:29:49 UTC 2023","Sun Dec 31 03:29:49 UTC 2023","230","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sun Dec 31 05:05:25 UTC 2023","Sun Dec 31 05:05:33 UTC 2023","8316","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sun Dec 31 03:00:10 UTC 2023","Sun Dec 31 03:00:19 UTC 2023","9333","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sun Dec 31 03:26:38 UTC 2023","Sun Dec 31 03:26:38 UTC 2023","255","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sun Dec 31 02:53:14 UTC 2023","Sun Dec 31 02:53:16 UTC 2023","2623","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sun Dec 31 03:00:23 UTC 2023","Sun Dec 31 03:00:23 UTC 2023","385","","6. Company Account","","","","9. Review Final Review",""
"passed","Sun Dec 31 03:04:54 UTC 2023","Sun Dec 31 03:05:12 UTC 2023","17983","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sun Dec 31 02:41:52 UTC 2023","Sun Dec 31 02:42:09 UTC 2023","17009","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Dec 31 04:02:58 UTC 2023","Sun Dec 31 04:03:41 UTC 2023","43325","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sun Dec 31 04:40:58 UTC 2023","Sun Dec 31 04:41:02 UTC 2023","3445","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Sun Dec 31 03:31:35 UTC 2023","Sun Dec 31 03:31:50 UTC 2023","15182","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sun Dec 31 03:31:56 UTC 2023","Sun Dec 31 03:31:57 UTC 2023","1352","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sun Dec 31 02:46:34 UTC 2023","Sun Dec 31 02:46:54 UTC 2023","19700","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Dec 31 04:06:09 UTC 2023","Sun Dec 31 04:06:11 UTC 2023","1975","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sun Dec 31 04:19:25 UTC 2023","Sun Dec 31 04:19:28 UTC 2023","2690","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
